Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
hei10 ++,23.10.19,21,1,6.2,40.8994,,,,,,y,,2,,1
hei10 ++,23.10.19,21,1,6.2,45.694,,,,,,y,,3,invading focus,1
hei10 ++,23.10.19,21,1,6.2,48.5863,,,,,,y,,2,bit noisy,0
hei10 ++,23.10.19,21,1,7,42.0155,,,,,late,y,12,3,bit noisy,0
hei10 ++,23.10.19,21,1,7,54.4815,,,,,,y,,3,,1
hei10 ++,23.10.19,21,1,7,37.6969,,,,,,y,,2,invading focus,0
hei10 ++,23.10.19,21,1,7,34.1353,,,,,,y,,2,,1
hei10 ++,23.10.19,21,1,7,46.2612,,,,,,y,,2,,1
hei10 ++,23.10.19,21,1,10,54.8159,,,,,late,y,12,2,,1
hei10 ++,23.10.19,21,1,10,64.9046,,,,,,n,,3,,0
hei10 ++,23.10.19,21,1,10,46.0381,,,,,,n,,2,,0
hei10 ++,23.10.19,21,1,10,37.9419,,,,,,y,,2,,0
hei10 ++,23.10.19,21,1,10,38.2474,,,,,,y,,2,bit noisy,1
hei10 ++,23.10.19,21,1,11,41.5446,,,,,late,n,12,1,,0
hei10 ++,23.10.19,21,1,11,41.831,,,,,,y,,2,,0
hei10 ++,23.10.19,21,1,11,64.4996,,,,,,n,,5,,0
hei10 ++,23.10.19,21,1,11,29.3697,,,,,,y,,2,,0
hei10 ++,23.10.19,21,1,11,35.1922,,,,,,y,,2,,0
hei10 ++,23.10.19,21,1,13.1,50.4267,,,,,mid,y,,,,
hei10 ++,23.10.19,21,1,13.1,29.9394,,,,,,y,,,,
hei10 ++,23.10.19,21,1,13.1,32.794,,,,,,y,,,,
hei10 ++,23.10.19,21,1,13.1,45.8007,,,,,,n,,,,
hei10 ++,23.10.19,21,1,13.1,35.6429,,,,,,y,,,,
hei10 ++,23.10.19,21,1,13.2,53.6737,,,,,mid,y,,,,
hei10 ++,23.10.19,21,1,13.2,42.8286,,,,,,y,,,,
hei10 ++,23.10.19,21,1,13.2,34.7798,,,,,,y,,,,
hei10 ++,23.10.19,21,1,13.2,46.2165,,,,,,n,,,,
hei10 ++,23.10.19,21,1,13.2,32.198,,,,,,y,,,,
hei10 ++,23.10.19,21,1,14,32.2461,,,,,mid/late,y,9,,,
hei10 ++,23.10.19,21,1,14,31.9617,,,,,,y,,,,
hei10 ++,23.10.19,21,1,14,50.7349,,,,,,y,,,,
hei10 ++,23.10.19,21,1,14,35.3607,,,,,,y,,,,
hei10 ++,23.10.19,21,1,14,45.2617,,,,,,y,,,,
hei10 ++,23.10.19,21,1,15,42.3255,,,,,mid,y,,,,
hei10 ++,23.10.19,21,1,15,35.0088,,,,,,y,,,,
hei10 ++,23.10.19,21,1,15,53.796,,,,,,y,,,,
hei10 ++,23.10.19,21,1,15,49.1586,,,,,,y,,,,
hei10 ++,23.10.19,21,1,15,37.2426,,,,,,y,,,,
hei10++,15.11.19,22,2,9,70.5159,,,,,late,y,12,3,,1
hei10++,15.11.19,22,2,9,61.6399,,,,,,y,,2,,1
hei10++,15.11.19,22,2,9,63.3812,,,,,,y,,3,,1
hei10++,15.11.19,22,2,9,44.7619,,,,,,y,,2,,1
hei10++,15.11.19,22,2,9,51.3027,,,,,,y,,2,,1
hei10++,15.11.19,22,2,2,65.7178,,,,,late,y,12,3,,1
hei10++,15.11.19,22,2,2,54.3845,,,,,,y,,3,,1
hei10++,15.11.19,22,2,2,40.8997,,,,,,y,,2,,1
hei10++,15.11.19,22,2,2,58.1064,,,,,,y,,3,intruding focus,0
hei10++,15.11.19,22,2,2,42.2757,,,,,,y,,1,intruding focus,0
hei10++,15.11.19,22,2,3,68.9619,,,,,late,y,11,3,,1
hei10++,15.11.19,22,2,3,68.0184,,,,,,y,,3,,1
hei10++,15.11.19,22,2,3,41.9881,,,,,,y,,1,,1
hei10++,15.11.19,22,2,3,45.6865,,,,,,y,,2,,1
hei10++,15.11.19,22,2,3,50.634,,,,,,y,,2,,1
hei10++,15.11.19,22,2,7,40.77,,,,,late,y,11,2,,1
hei10++,15.11.19,22,2,7,42.414,,,,,,y,,3,,1
hei10++,15.11.19,22,2,7,51.0998,,,,,,y,,2,,1
hei10++,15.11.19,22,2,7,54.9305,,,,,,y,,2,,1
hei10++,15.11.19,22,2,7,36.7315,,,,,,y,,2,,1
hei10++,15.11.19,22,2,8,49.7159,,,,,late,y,11,2,,1
hei10++,15.11.19,22,2,8,45.2161,,,,,,y,,2,,1
hei10++,15.11.19,22,2,8,63.8841,,,,,,y,,3,,0
hei10++,15.11.19,22,2,8,74.3804,,,,,,y,,2,I think the traces from these two need to be ammended,1
hei10++,15.11.19,22,2,8,53.9884,,,,,,y,,2,end of chromosome 2 in fact belongs to chromosome 5,0
hei10++,15.11.19,22,2,10,60.9659,,,,,late,y,8,1,,1
hei10++,15.11.19,22,2,10,76.759,,,,,,y,,2,intensity peaks bad,0
hei10++,15.11.19,22,2,10,49.295,,,,,,y,,2,intensity peaks bad,0
hei10++,15.11.19,22,2,10,46.551,,,,,,y,,2,,1
hei10++,15.11.19,22,2,10,73.706,,,,,,y,,2,,1
